S, Road 39, 4, 9, 4.5, 9514, 9618
SI, Road 1 M, 1, 15, -4.5, 10441, 11705
S, Road 10b M, 28, 33, -4.5, 12006, 15405
S, Road 10, 1, 9, 4.5, 12000, 3500
S, Road 9, 9, 17, 4, 8573, 5338
SI, Road 9, 4, 7, 4.5, 11530, 12881
S, Road 8, 1, 4, 4.5, 6930, 6434
S, Road 19 M, 6, 13, -4.5, 5000, 5000
S, Road 82, 1, 5, -4.5, 3841, 5756
S, Road 16 M, 1, 6, 4.5, 2777, 7420
S, Road 7, 22, 28, -4.5, 11510, 3106
SI, Road 26, 17, 27, 4.5, 7245, 2000
S, Road 6b M, 2, 6, 4.5, 7600, 4600
S, Road 86 M, 2, 21, 4.5, 3500, 5000
S, Road 43 M, 8, 11, -4.5, 4762, 9200
S, Road 19, 7, 12, -4.5, 14300, 4519
SI, Road 22, 3, 11, 4.5, 11760, 10480
S, Road 24, 19, 31, -4.5, 12000, 9500
S, Road 10 M, 3, 10, -4.5, 12400, 13010
S, Road 26, 5, 16, 4.5, 15700, 8400
S, Road 29, 10, 14, 4.5, 14800, 13800
S, Road 3, 5, 12, -4.5, 8700, 13000
S, Road 22, 41, 45, -4.5, 5800, 13900
S, Road 22(Clone)41, 18,27, -4.5, 5800, 13900
S, Road 10, 3, 6, 4.5, 2315, 11331
S, Road 6b M, 8, 16, 4.5, 1000, 11331
SI, Road 5 M, 2, 23, 4, 13000, 12000
S, Road 17 M, 21, 26, -4.5, 2000, 4700
S, Road 27, 1, 6, 4.5, 4000, 2500
SI, Road 11b M, 3, 9, 4.5, 6000, 3000
SI, Road 6 M, 12, 21, -4.5, 11000, 2000
S, Road 5 M, 12, 18, 4.5, 11000, 7000
